iter	Passed	Remaining
0	139	139648
1	145	72465
2	150	50090
3	155	38826
4	160	32035
5	166	27545
6	171	24330
7	176	21939
8	182	20064
9	186	18475
10	191	17208
11	197	16243
12	202	15390
13	208	14689
14	213	14018
15	219	13469
16	224	12967
17	229	12508
18	234	12091
19	238	11697
20	243	11356
21	248	11037
22	252	10733
23	257	10464
24	262	10232
25	266	9997
26	272	9804
27	276	9600
28	281	9426
29	286	9257
30	290	9095
31	296	8955
32	300	8817
33	305	8684
34	311	8575
35	316	8478
36	321	8373
37	327	8282
38	332	8184
39	337	8097
40	342	8011
41	347	7926
42	352	7841
43	357	7766
44	362	7702
45	367	7622
46	372	7546
47	377	7479
48	381	7411
49	387	7355
50	391	7293
51	397	7239
52	402	7188
53	407	7132
54	412	7080
55	417	7032
56	422	6988
57	427	6947
58	432	6900
59	437	6858
60	443	6823
61	448	6782
62	453	6751
63	458	6711
64	464	6677
65	469	6645
66	474	6606
67	479	6576
68	484	6539
69	489	6509
70	495	6481
71	500	6446
72	505	6418
73	510	6388
74	515	6359
75	520	6333
76	526	6308
77	531	6284
78	536	6257
79	542	6234
80	547	6211
81	553	6191
82	558	6171
83	564	6153
84	569	6135
85	575	6112
86	580	6088
87	585	6065
88	590	6042
89	595	6023
90	600	5996
91	605	5976
92	611	5959
93	615	5936
94	621	5921
95	626	5901
96	632	5887
97	637	5871
98	642	5851
99	648	5836
100	653	5818
101	659	5802
102	664	5784
103	669	5769
104	675	5754
105	680	5735
106	685	5720
107	690	5703
108	695	5685
109	700	5670
110	705	5650
111	710	5635
112	716	5621
113	720	5602
114	726	5589
115	731	5573
116	736	5560
117	742	5546
118	747	5532
119	752	5519
120	757	5504
121	763	5494
122	769	5483
123	774	5470
124	779	5459
125	784	5444
126	790	5436
127	796	5426
128	802	5418
129	808	5410
130	814	5404
131	820	5393
132	825	5384
133	832	5382
134	839	5378
135	845	5373
136	852	5370
137	859	5365
138	865	5358
139	870	5350
140	876	5340
141	882	5334
142	888	5324
143	894	5315
144	899	5304
145	905	5294
146	910	5284
147	915	5272
148	921	5265
149	927	5256
150	933	5247
151	939	5239
152	945	5231
153	951	5226
154	958	5223
155	964	5218
156	970	5211
157	976	5203
158	982	5195
159	988	5189
160	994	5181
161	1000	5175
162	1006	5170
163	1013	5165
164	1019	5159
165	1025	5152
166	1031	5143
167	1038	5141
168	1043	5132
169	1049	5124
170	1054	5114
171	1060	5107
172	1066	5098
173	1071	5088
174	1077	5078
175	1082	5068
176	1088	5059
177	1093	5050
178	1099	5040
179	1104	5031
180	1110	5022
181	1116	5016
182	1121	5006
183	1127	4998
184	1132	4990
185	1138	4981
186	1144	4975
187	1150	4967
188	1155	4960
189	1161	4951
190	1167	4944
191	1172	4935
192	1178	4928
193	1184	4922
194	1191	4917
195	1197	4910
196	1202	4901
197	1208	4894
198	1213	4885
199	1219	4877
200	1224	4867
201	1229	4856
202	1234	4848
203	1239	4837
204	1245	4830
205	1250	4821
206	1256	4814
207	1262	4805
208	1267	4795
209	1272	4787
210	1278	4778
211	1283	4770
212	1288	4760
213	1294	4752
214	1299	4744
215	1304	4735
216	1310	4729
217	1315	4720
218	1321	4713
219	1327	4705
220	1332	4697
221	1338	4689
222	1343	4679
223	1348	4672
224	1353	4663
225	1359	4655
226	1364	4647
227	1369	4638
228	1375	4630
229	1380	4621
230	1385	4612
231	1391	4604
232	1396	4595
233	1401	4588
234	1406	4579
235	1412	4571
236	1417	4563
237	1423	4556
238	1429	4551
239	1434	4544
240	1441	4539
241	1446	4530
242	1452	4523
243	1457	4515
244	1462	4507
245	1468	4499
246	1473	4491
247	1479	4485
248	1483	4475
249	1488	4466
250	1494	4458
251	1498	4448
252	1504	4441
253	1509	4433
254	1514	4425
255	1520	4417
256	1525	4408
257	1530	4402
258	1535	4392
259	1540	4384
260	1545	4375
261	1549	4365
262	1554	4356
263	1559	4348
264	1565	4342
265	1570	4334
266	1576	4327
267	1581	4320
268	1587	4313
